id,airport_ref,airport_ident,length_ft,width_ft,surface,lighted,closed,le_ident
248526,14714,86CO,2600,80,TURF-DIRT,0,0,8
249477,14716,86FD,2600,60,TURF,0,0,9
266535,14717,86FL,40,40,CONC,0,0,H1
257505,14718,86GA,2000,100,TURF,0,0,3
266536,14719,86IL,2072,100,TURF-G,0,0,9
266537,14720,86IN,50,50,CONC,0,0,H1
258000,14721,86IS,2200,134,TURF,0,0,9
247586,14723,86KY,900,50,TURF,0,0,5
247587,14723,86KY,1200,75,TURF,0,0,18
252214,14724,86LA,1850,100,TURF,0,0,12
505284,505283,86ME,2592,100,WAT,0,0,2W
253709,14725,86MI,2460,100,TURF-P,0,0,6
266538,14726,86MN,100,100,ASPH,0,0,H1
270738,14727,86MO,100,100,CONC,0,0,H1
252186,14728,86NC,2900,100,TURF,0,0,4
248403,14729,86NE,2200,65,TURF,0,0,17
264343,45552,86NY,33,33,Grass,0,0,H1
253245,14731,86OH,2500,70,TURF,0,0,E
266539,14732,86OI,30,30,CONC,0,0,H1
270739,14733,86OK,60,60,TURF,0,0,H1
270740,14734,86OR,25,25,CONC,0,0,H1
270741,14735,86PA,20,20,TURF,0,0,H1
270742,14735,86PA,20,20,TURF,0,0,H2
247270,14736,86PN,1535,100,TURF,0,0,8
252126,14737,86TA,3376,60,TURF,0,0,2
254693,14738,86TE,2000,40,TURF,0,0,7
345449,345448,86TN,3100,100,Turf/Concrete,0,0,5
256618,14739,86TS,3450,110,TURF,0,0,2
250478,14740,86TX,1700,80,DIRT,0,0,17
270743,14741,86VA,30,30,CONC,0,0,H1
248279,14742,86WA,2500,24,ASPH,1,0,16
250173,14744,86XS,2600,175,TURF,0,0,16
252819,14745,87AK,1100,50,GRVL-F,0,0,7
255776,14746,87B,5000,500,WATER,0,0,2
255777,14746,87B,5000,500,WATER,0,0,15
249053,14747,87CA,2500,35,ASPH,0,0,7
266540,14748,87CL,80,60,ASPH,1,0,H1
266541,14749,87CN,20,20,MATS,0,0,H1
251349,14750,87CO,2400,15,DIRT,0,0,18
266542,14751,87FD,85,85,CONC,0,0,H1
266543,14752,87FL,29,29,CONC,1,0,H1
266544,14753,87GA,400,200,ASPH,0,0,H1
255922,14754,87IL,1800,100,TURF,0,0,N
251107,14755,87IN,1320,50,TURF,0,0,18
248205,14757,87KS,1650,100,TURF-G,0,0,17
266545,14758,87KY,23,23,CONC,0,0,H1
254783,14760,87MN,2300,75,TURF,0,0,16
240269,14761,87MO,3000,85,TURF-GRVL-G,0,0,18
270744,14762,87N,44,44,ASPH-E,0,0,H1
250860,14763,87NC,2000,50,TURF,0,0,6
256259,14764,87NE,2000,24,CONC,0,0,17
266546,14765,87NJ,44,41,CONC,0,0,H1
346699,346698,87NY,85,85,Turf,1,0,H1
255007,14766,87OH,2640,50,TURF,0,0,18
248428,14767,87OI,2100,80,TURF,0,0,1
270745,14768,87OK,30,30,CONC,0,0,H1
257566,14769,87OR,1700,50,TURF,0,0,12
247584,14770,87PA,2600,100,TURF,0,0,17
248958,14771,87TA,2100,40,DIRT,0,0,17
246964,14772,87TE,2100,80,TURF,0,0,13
270746,14773,87TS,62,62,CONC,0,0,H1
255351,14774,87TX,3200,50,TURF-G,0,0,5
248636,14775,87VA,1000,50,TURF,0,0,15
270747,14776,87WA,60,60,ASPH,0,0,H1
246548,14777,87WI,1200,30,TURF,0,0,1
246576,14778,87XS,3800,75,TURF-DIRT,0,0,9
253306,14779,88AK,1300,100,GRVL,0,0,7
322682,322681,88AZ,3800,40,ASP,0,0,17
247669,14780,88C,2800,200,TURF-G,1,0,9
266547,14781,88CA,54,54,ROOFTOP,1,0,H1
266548,14782,88CL,80,80,ASPH,0,0,H1
253309,14783,88CO,3800,30,TURF-DIRT,0,0,1
249440,14784,88D,2500,70,TURF-G,0,0,11
266549,14785,88FD,54,54,CONC,0,0,H1
266550,14786,88FL,40,40,TURF,0,0,H1
256234,14787,88G,2306,110,TURF-G,1,0,9
254504,14788,88GA,2000,40,TURF,0,0,17
250549,14789,88IL,1900,70,TURF-G,0,0,18
256918,14790,88IN,1300,50,TURF,0,0,9
246780,14791,88IS,2200,150,TURF,0,0,E
266551,14792,88KY,60,60,CONC,0,0,H1
251488,14793,88LA,1000,60,TURF,0,0,7
251489,14793,88LA,800,60,TURF,0,0,11
251490,14793,88LA,400,60,TURF,0,0,17
256110,14794,88LL,1600,70,TURF,0,0,N
354645,354644,88MD,2600,100,Turf,0,0,4
505289,505288,88ME,30,30,Asphalt/Dirt,0,0,H1
252340,14795,88MN,1600,60,TURF,0,0,18
255199,14796,88MO,2400,30,TURF,0,0,15
247107,14797,88NC,2000,40,TURF,0,0,18
255384,14798,88ND,2000,50,TURF,0,0,17
253288,14799,88NE,1400,50,TURF,0,0,16
264083,45518,88NV,5280,50,DIRT,0,1,4
356600,45518,88NV,6022,75,Dirt,1,0,5L
356601,45518,88NV,6015,75,Dirt,1,0,5R
356602,45518,88NV,50,50,Dirt,0,0,H1
356603,45518,88NV,50,50,Dirt,0,0,H2
356604,45518,88NV,50,50,Dirt,0,0,H3
247448,14800,88NY,1800,65,TURF,0,0,9
257879,14801,88OH,2600,60,TURF,0,0,E
266552,14802,88OI,50,90,NSTD,0,0,H1
251049,14803,88OK,1600,75,TURF,0,0,17
246919,14804,88OL,2500,80,TURF-F,0,0,3
247657,14805,88OR,2000,50,TURF-G,0,0,9
246629,14806,88PA,1300,100,TURF,0,0,14
255911,14807,88TA,4000,75,TURF,0,0,1
255716,14808,88TE,2000,60,TURF,0,0,16
264546,45791,88TN,3000,50,ASPH,0,0,10
270748,14809,88TS,600,600,ASPH,0,0,H1
430437,430436,88TT,1250,50,Turf,0,0,18
270749,14810,88TX,40,40,CONC,1,0,H1
256828,14811,88VA,2200,50,TURF,0,0,4
247968,14812,88VT,2350,50,TURF,0,0,3
270750,14813,88WA,16,16,WOOD,0,0,H1
254032,14814,88WI,2200,100,TURF,0,0,3
254033,14814,88WI,2000,150,TURF,0,0,18
346575,346574,88WS,900,65,Turf,0,0,9
348394,348391,88XA,2100,45,Turf,0,0,18
251436,14815,88XS,2200,110,TURF,0,0,17
256760,14816,89AK,2000,200,GRVL,0,0,16
252787,14817,89CA,2500,50,ASPH,0,0,16
266553,14818,89CL,35,35,ASPH,0,0,H1
247994,14819,89CO,3200,60,TURF,0,0,14
257341,14820,89D,2203,50,ASPH-P,1,0,9
257342,14820,89D,2270,35,ASPH-F,1,0,18
266554,14821,89FD,250,250,TURF,0,0,H1
250053,14822,89FL,5000,1000,WATER,0,0,17
248084,14853,89GE,2690,40,ASPH-P,0,0,9
266555,14824,89IL,60,60,CONC-TURF,0,0,H1
257999,14825,89IN,3000,95,TURF,0,0,6
246373,14826,89IS,1200,70,TURF,0,0,4
266556,14827,89KS,20,20,CONC,0,0,H1
266557,14828,89KY,40,40,CONC,0,0,H1
266558,14829,89LA,24,24,STEEL,0,0,H1
349868,349867,89MI,140,140,Turf,0,0,H1
247480,14832,89MO,2460,40,TURF-DIRT,0,0,17
247631,14833,89NC,2642,118,TURF,0,0,5
255724,14834,89ND,1700,70,TURF,0,0,17
252264,14836,89NJ,2200,100,TURF-SAND-F,0,0,14
244142,19113,89NY,4280,60,ASPH-F,1,0,6
266559,14837,89OH,40,40,CONC,0,0,H1
250878,14838,89OI,1700,75,TURF,0,0,18
256857,14839,89OK,1970,75,TURF,0,0,E
253871,14840,89OR,1250,40,GRVL,0,0,2
270751,14841,89PA,26,26,CONC,0,0,H1
255647,14842,89TA,3200,500,TURF,0,0,17
240593,14843,89TE,7500,100,ASPH,1,0,7
264675,45788,89TN,48,20,CONC-G,1,0,H1
269354,45788,89TN,48,20,CONC-G,1,0,H2
269355,45788,89TN,48,20,CONC-G,1,0,H3
269356,45788,89TN,48,20,CONC-G,1,0,H4
269357,45788,89TN,48,20,CONC-G,1,0,H5
240533,14844,89TS,5200,75,ASPH-CONC,0,0,18
246647,14845,89TX,2800,50,DIRT,0,0,17
