Date,Price
08/15/17,171
08/16/17,170
08/17/17,166.91
08/18/17,167.41
08/21/17,167.78
08/22/17,169.64
08/23/17,168.71
08/24/17,167.74
08/25/17,166.32
08/28/17,167.24
