Open,High,Low,Close,Volume
27.72,28.11,27.65,28.03,108273280
27.32,27.8,27.29,27.76,119994884
27.38,27.59,27.3,27.49,104781844
27.5,27.51,27.06,27.28,137298156
27.29,27.52,27.21,27.48,106112000
27.59,27.74,27.26,27.37,148347436
27.9,28.05,27.57,27.63,144648640
27.7,28.01,27.52,27.87,114115000
27.86,28.12,27.85,27.89,108775920
27.78,27.97,27.74,27.95,45903680
27.84,27.88,27.58,27.81,109705564
27.99,28.11,27.85,27.95,103862116
27.53,28,27.5,27.93,117058280
27.43,27.64,27.42,27.52,113715680
27.45,27.59,27.21,27.49,110528000
26.68,27.56,26.65,27.5,235362080
26.64,26.92,26.54,26.78,129058040
26.93,26.95,26.02,26.43,204702000
26.78,27.22,26.64,27.11,136575592
27.77,27.77,26.46,26.95,228538156
27.47,27.83,27.01,27.72,236705436
27.58,27.93,27.43,27.77,97016720
27.52,27.63,27.37,27.6,130240000
27.13,27.56,27.03,27.21,123348000
27.75,27.87,27.39,27.46,107730400
27.85,28.09,27.81,27.9,113326844
28.37,28.44,27.63,27.87,175303236
28.41,28.56,28.3,28.39,105677600
28.47,28.8,28.36,28.43,151446640
28.85,28.97,28.53,28.62,138248188
28.58,28.93,28.33,28.9,264536876
29.49,29.59,29.33,29.56,192515876
29.28,29.44,29.25,29.41,94154680
29.2,29.23,29.07,29.15,92770680
29.22,29.35,29.08,29.27,96503204
29.31,29.44,28.45,29.28,80138360
29.55,29.55,29.36,29.37,98213920
29.33,29.46,29.2,29.39,94499600
29.47,29.54,29.28,29.41,142608764
29.2,29.36,28.93,29.25,140769624
29.34,29.5,29.19,29.34,150347172
29.43,29.67,29.05,29.08,256164156
28.76,29.19,28.68,29.01,144943844
28.58,28.64,28.38,28.52,97433756
28.43,28.59,28.28,28.47,115117244
28.35,28.42,28.17,28.26,85812360
28.27,28.58,28.16,28.25,118947360
28.18,28.26,28.07,28.13,86807040
28.12,28.34,27.95,28.26,145516452
28.29,28.45,27.95,28.05,143547968
28.42,28.66,28.36,28.49,118564360
28.25,28.3,28.09,28.27,98429640
27.91,28.35,27.89,28.22,119477756
28.61,28.7,27.89,28.18,209924608
28.59,28.74,28.5,28.66,124295920
28.46,28.5,28.11,28.39,144012764
28.26,28.53,28.13,28.39,138057092
28.8,29.05,28.31,28.4,188092188
28.78,29.03,28.51,28.73,319547656
28.47,28.93,28.37,28.89,362452752
27.18,28.26,27.15,27.94,449361220
26.88,27.2,26.81,26.99,248704764
25.66,26.43,25.63,26.36,181171080
26.16,26.43,25.78,25.78,186227920
26.81,26.82,26.31,26.38,212008124
26.96,27.19,26.77,27.09,169457312
26.98,27.08,26.88,26.93,107521564
26.93,27,26.71,26.93,107209796
26.54,26.7,26.41,26.68,106806080
26.42,26.64,26.41,26.53,118649640
26.45,26.63,26.38,26.5,99455796
26.66,26.86,26.57,26.71,99881204
26.85,26.99,26.58,26.74,111065156
26.85,26.97,26.67,26.89,100345000
27.14,27.19,26.92,27.01,94700320
27.15,27.33,27.13,27.21,85030680
27.22,27.28,26.96,27.13,103280920
27.19,27.42,27.09,27.34,101472280
27.31,27.4,27.26,27.27,87938796
27.28,27.34,27.09,27.31,101423920
27.41,27.56,27.3,27.35,135177796
27.04,27.39,27.02,27.37,103472844
26.95,27.11,26.95,27.05,74641720
27.13,27.23,26.96,26.98,109938040
27.18,27.23,26.94,27,96034040
27.06,27.24,27,27.2,105260796
26.88,27.09,26.79,27.09,112148884
26.57,26.91,26.55,26.87,162213592
26.4,26.5,26.32,26.47,109634600
26.2,26.46,26.19,26.45,120810564
26.51,26.52,26,26.12,135266236
26.1,26.54,26.1,26.51,152671484
